"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"Doctor Mike",80918,712,10,31,"People & Blogs"
"Doctor Who",27794,4953,8,9,"Entertainment"
"doddleoddle",111157,1419,10,11,"Music"
"doddlevloggle",41942,474,10,6,"Entertainment"
"dodieVEVO",57022,508,10,12,"Music"
"Dolan Twins",197483,695,10,12,"Comedy"
"Domain of Science",2795,17,10,2,"Science & Technology"
"Domics",132534,1876,10,58,"Comedy"
"Don Diablo",29861,609,10,26,"Music"
"Donald J. Trump Topic",2501,2323,5,3,"People & Blogs"
"DonDiablo",31813,445,10,5,"Music"
"DONG",40160,1265,10,18,"Entertainment"
"Donut Media",2389,38,10,4,"Autos & Vehicles"
"DoodleChaos",8651,114,10,5,"Entertainment"
"dope2111",36609,1929,10,4,"Howto & Style"
"DopeBoyTroy",173,72,7,5,"Music"
"Doritos®",16043,496,10,2,"Entertainment"
"Dorkly",37261,1364,10,6,"Comedy"
"Doug DeMuro",22852,1192,10,48,"Autos & Vehicles"
"Doug Ellison",21850,1524,9,13,"Science & Technology"
"Doug Jones for Senate",1124,353,8,8,"People & Blogs"
"Dr. Sandra Lee (aka Dr. Pimple Popper)",2933,211,9,12,"Education"
"DraftExpress",14,1,9,2,"Sports"
"DragTimes",1043,239,8,11,"Autos & Vehicles"
"DrakeBellVEVO",3677,454,9,1,"Music"
"DrakeVEVO",828124,25003,10,14,"Music"
"DreamCastle_629",416,35,9,6,"Music"
"Drew Lynch",6134,54,10,11,"Comedy"
"DrinkBODYARMOR",532,57,9,9,"Sports"
"DrMachakil",654,9,10,3,"Film & Animation"
"Dua Lipa",545880,13152,10,13,"Music"
"Duan Mackenzie",6019,10,10,3,"People & Blogs"
"DuckSoss",95470,5279,9,12,"Comedy"
"Dude Perfect",475282,10639,10,95,"Sports"
"Duncan Sinfield",1253,42,10,2,"News & Politics"
"DunkFest",146,24,9,6,"Sports"
"Dustin Penner",3274,41,10,4,"Howto & Style"
"Duston Ward",9965,503,10,8,"Sports"
"Dwarf Mamba",343751,8008,10,8,"Entertainment"
"Dylan Locke",1556,16,10,2,"Comedy"
"E! Entertainment",5199,392,9,86,"Entertainment"
"E! Live from the Red Carpet",6083,549,8,22,"Entertainment"
"E! News",139,67,6,15,"Entertainment"
"EA SPORTS FIFA",19240,867,10,6,"Gaming"
"East Idaho News",65,81,4,6,"News & Politics"
"Eater",2413,254,9,35,"Howto & Style"
"eba era",3,3,4,3,"Music"
"Ed Sheeran",774718,14475,10,42,"Music"
"edlover4real",29,4,9,1,"Comedy"
"Edward Avila",8840,1610,9,8,"Howto & Style"
"郭韋辰",50,1,10,2,"Science & Technology"
"ekaggrat singh kalsi",25,4,9,2,"Science & Technology"
"ElbowVEVO",2282,153,9,2,"Music"
"ElectroBOOM",20583,252,10,25,"Science & Technology"
"Electron Dust",11,1,9,2,"Science & Technology"
"eLL cartoons",1921,80,10,6,"People & Blogs"
"ELLE",10917,327,9,36,"Howto & Style"
"ElleOfTheMills",88006,1123,10,32,"Entertainment"
"ELLEUKTV",5941,562,9,7,"Howto & Style"
"Ellie and Jared",31520,1076,10,13,"People & Blogs"
"EllieGouldingVEVO",20233,520,10,17,"Music"
"Elton John",586,210,7,6,"Music"
"EltonJohnVEVO",2642,408,9,6,"Music"
"Elvis Duran Show",662,24,10,6,"Entertainment"
"EminemVEVO",682610,29586,10,33,"Music"
"Emirates",2455,146,9,5,"Travel & Events"
"emma chamberlain",15565,132,10,5,"Entertainment"
"Emma Massingale",84,1,10,4,"Pets & Animals"
"emmymadeinjapan",5338,290,9,39,"Howto & Style"
"Empire",608,9,10,3,"Entertainment"
"empireofthesunvevo",8536,91,10,2,"Music"
"End of Ze World",4963,1235,8,5,"People & Blogs"
"engineerguy",11677,53,10,5,"Science & Technology"
"Engineering Explained",9115,613,9,19,"Autos & Vehicles"
"EnriqueIglesiasVEVO",65161,2893,10,5,"Music"
"Enter Shikari",3959,158,10,1,"Music"
"Entertainment Tonight",2291,711,8,59,"Entertainment"
"Entertainment Weekly",52,2,10,6,"Entertainment"
"EntertainmentVevo",29699,444,10,1,"Music"
"Epicurious",23479,1311,9,32,"Howto & Style"
"Eric Strebel",108,6,10,10,"Howto & Style"
"Erin Noelle",11621,108,10,5,"Howto & Style"
"Errant Signal",2675,74,10,5,"Gaming"
"ESPN",4307,546,9,166,"Sports"
"ESPN UK",15164,1028,9,9,"Sports"
"Estée Lalonde",4327,158,10,3,"People & Blogs"
"Esther Bellido",9424,269,10,5,"Entertainment"
"ET Canada",4882,1468,8,6,"Entertainment"
"euronews (in English)",973,130,8,25,"News & Politics"
"European Space Agency, ESA",1637,66,10,5,"Science & Technology"
"Eva Lunde Bentley",6858,116,10,8,"Film & Animation"
"Evan Edinger",8407,42,10,6,"Comedy"
"Everyday Astronaut",4149,74,10,13,"Science & Technology"
"EverythingApplePro",18412,825,10,46,"Entertainment"
"EVNautilus",1981,7,10,1,"Science & Technology"
"Exploring Alternatives",4654,60,10,4,"Howto & Style"
"ExplosmEntertainment",50231,1472,10,78,"Comedy"
"Extra Credits",14903,248,10,14,"Education"
"F Milburn",4,3,6,4,"People & Blogs"
"Facelesstech",2,0,10,3,"Gaming"
"FacelesswithEyesOpen",31,0,10,2,"News & Politics"
"FaeryInLoveInc",800,249,8,4,"Film & Animation"
"FailArmy",27446,3233,9,3,"Comedy"
"FallOutBoyVEVO",90622,2014,10,25,"Music"
"Famous Celebrities Snaps",8,4,NA,11,"Autos & Vehicles"
"Fancy Vlogs By Gab",20265,316,10,8,"People & Blogs"
"fantano",4744,270,10,18,"Music"
"FaZe Rug",127136,13421,9,29,"Gaming"
"FBE",62507,3522,9,112,"Entertainment"
"FC Barcelona",11027,244,10,46,"Entertainment"
"Feast Of Fiction",4483,277,9,19,"Howto & Style"
"Feelunique",151,4,10,5,"Howto & Style"
"FerrasVEVO",1159,12,10,3,"Music"
"FIFATV",8596,95,10,6,"Sports"
"Fifty Shades",24359,4093,9,3,"Entertainment"
"FiftyShadesVEVO",141552,2252,10,25,"Music"
"FightHype.com",908,223,8,18,"Sports"
"Film Independent",4284,177,10,13,"Film & Animation"
"FILMWEBTV",3045,24,10,5,"People & Blogs"
"First Aid Kit",666,4,10,4,"Music"
"First We Feast",39674,1759,10,148,"Howto & Style"
"Flash Rahbbit",160,8,10,2,"Entertainment"
"Fleur DeForce",14581,296,10,18,"Howto & Style"
"flirppy242",78,1,10,3,"Music"
"FliteTest",6464,190,10,16,"Entertainment"
"FlorenceMachineVEVO",79070,1171,10,22,"Music"
"FloSports",74,10,9,4,"Entertainment"
"FlyFastandLow",9,0,10,3,"News & Politics"
"Focus Features",28560,790,10,50,"Entertainment"
"Fontgod",126,12,9,5,"Pets & Animals"
"FOOD INSIDER",13834,1970,9,14,"Travel & Events"
"Food Wishes",6637,199,10,47,"Howto & Style"
"foofightersVEVO",14369,270,10,8,"Music"
"Foot Locker",1152,43,10,10,"Entertainment"
"Ford Europe",74,8,9,2,"Autos & Vehicles"
"Ford Motor Company",570,37,9,3,"Autos & Vehicles"
"Forgotten Weapons",11597,88,10,5,"Education"
"FORMULA 1",20225,565,10,22,"Sports"
"Fortnite",98669,19695,9,17,"Gaming"
"fosterthepeopleVEVO",29953,562,10,19,"Music"
"FoundFlix",29955,1166,10,16,"Entertainment"
"FOX",885,114,8,10,"Entertainment"
"FOX 17 WXMI",15744,453,10,15,"News & Politics"
"Fox Business",436,468,5,8,"News & Politics"
"Fox News",1390,545,6,43,"News & Politics"
"FOX Soccer",4043,625,9,54,"Sports"
"FOX Sports",770,193,8,21,"Sports"
"FoxSearchlight",6209,332,10,14,"Film & Animation"
"FoxStarHindi",744292,28445,10,15,"Entertainment"
"Frank May",6367,331,10,4,"Comedy"
"Frankie Vision",1857,26,10,1,"Sports"
"FRANKIEmusicVEVO",240,17,9,2,"Music"
"Freddie Lister",11659,1404,9,7,"Sports"
"Freddie Twenty",12501,403,10,8,"Gaming"
"FreeDawkins",584,10,10,11,"Sports"
"Freedom of the Press Foundation",2457,210,9,12,"Science & Technology"
"Freeform",219,2,10,1,"Entertainment"
"Freemeo",41,4,9,2,"Film & Animation"
"FrenchMontanaVEVO",95552,3415,10,7,"Music"
"Frog The Rooster",920,18,10,2,"People & Blogs"
"FrownsUpsideDown",66,1,10,4,"Entertainment"
"Fueled By Ramen",62114,1118,10,39,"Music"
"Full Frontal with Samantha Bee",7844,4084,8,63,"People & Blogs"
"Function",1334,22,10,7,"Science & Technology"
"FundingCircleUK",66,11,9,2,"Howto & Style"
"FunForLouis",2117,163,9,7,"People & Blogs"
"Funny Commercials",7310,231,10,3,"Film & Animation"
"Funny New Videos",5203,194,10,4,"People & Blogs"
"Funny News",3627,132,10,2,"People & Blogs"
"Funny Or Die",1173,356,9,11,"Comedy"
"fuzywazacolin",57,3,9,3,"Autos & Vehicles"
"FX Networks",3488,134,9,28,"Entertainment"
"G-Eazy",24676,298,10,13,"Entertainment"
"Gabbie Hanna",57270,3680,9,21,"Howto & Style"
"Galantis",16019,224,10,5,"Music"
"gamelovercommercials",340,59,9,6,"Entertainment"
"GameXplain",15350,1030,9,10,"Gaming"
"GamingWithJen",22875,1460,9,7,"People & Blogs"
"Gatorade",1268,16,10,2,"Sports"
"Gcincorp Ecommerce and Real Estate",232,159,6,7,"Howto & Style"
"GEazyMusicVEVO",352553,14000,10,31,"Music"
"geicocaveman2012",636,26,10,3,"Entertainment"
"Gemma Stafford",3580,40,10,9,"Howto & Style"
"Genius",15043,483,9,20,"Music"
"Gentle Whispering ASMR",23325,2109,9,15,"Howto & Style"
"Genuine Survival Research Labs",92,6,9,2,"Science & Technology"
"Geoff Mallinson",2,4,4,3,"Entertainment"
"GeorgeEzraVEVO",15081,252,10,23,"Music"
"Gerry Litwin",57349,4392,9,12,"People & Blogs"
"Gibi ASMR",15757,1135,9,32,"Entertainment"
"Gigi Gorgeous",7655,3084,9,17,"Howto & Style"
"GingerPale",28847,445,10,16,"Comedy"
"GinWigmoreVEVO",407,14,10,2,"Music"
"Glam&Gore",29916,241,10,50,"Entertainment"
"Glamour Magazine",37526,438,10,44,"Entertainment"
"Global News",3426,401,9,10,"News & Politics"
"Global Road Entertainment",4778,408,9,14,"Entertainment"
"GoDucksdotcom",10,2,8,2,"Sports"
"GohmertTX01",345,220,6,6,"News & Politics"
"Golden State Warriors",2298,31,10,4,"People & Blogs"
"Gondwana Collection Namibia",1878,59,10,1,"Travel & Events"
"Good Morning America",7378,790,9,62,"Entertainment"
"Good Morning Britain",522,64,9,7,"Entertainment"
"Good Mythical MORE",8631,286,10,19,"Entertainment"
"Good Mythical Morning",17756,1281,9,122,"Entertainment"
"Goodwillsandusky",1922,41,10,4,"Film & Animation"
"Google",26017,1908,9,26,"Science & Technology"
"Google Developers",17455,1567,9,1,"Science & Technology"
"googledoodles",78188,1772,10,12,"Film & Animation"
"GoPro",8940,173,10,31,"Sports"
"Gordon Ramsay",39136,1859,10,9,"Entertainment"
"GPhase",43319,395,10,13,"Entertainment"
"GQ",17638,370,10,49,"Entertainment"
"Grace Helbig",11528,191,10,65,"People & Blogs"
"GraceVanderWaalVEVO",132917,1429,10,25,"Music"
"Graham The Christian",55902,6565,9,7,"Comedy"
"grandayy",58280,1906,10,6,"Entertainment"
"Grandpa Kitchen",16550,354,10,7,"Howto & Style"
"grav3yardgirl",11604,515,10,11,"Howto & Style"
"GRB rally",2068,42,10,12,"Sports"
"GrDrtube",42,0,10,1,"Education"
"Great Big Story",10816,142,10,128,"People & Blogs"
"GreatScott!",8133,191,10,15,"Science & Technology"
"greeenpro",62,11,8,3,"Science & Technology"
"Green Day",52843,1137,10,11,"Music"
"Gregg Peterson",19,58,2,3,"Sports"
"greyson97",4280,23,10,5,"Music"
"Grist",37,2,9,1,"Film & Animation"
"Groupon",1080,238,8,7,"Entertainment"
"Guardian News",1930,580,8,53,"News & Politics"
"Guava Juice",33910,2072,9,46,"Entertainment"
"Guinness World Records",681,25,10,1,"Entertainment"
"Guldies",10371,51,10,5,"Film & Animation"
"Gus Johnson",19793,903,10,68,"Comedy"
"Gustawny",1659,67,10,5,"Music"
"Guy Tang",29484,1314,10,7,"Howto & Style"
"GwenStefaniVEVO",3601,270,9,6,"Music"
"gzumwalt",60,30,7,6,"Science & Technology"
"H&M",3734,325,9,8,"Entertainment"
"H3 Podcast Highlights",18923,949,10,14,"People & Blogs"
"HACKADAY",78,2,10,14,"Science & Technology"
"HaileeSteinfeldVEVO",165334,1851,10,9,"Music"
"HaimVEVO",8691,188,10,5,"Music"
"Hak5",300,60,8,2,"Science & Technology"
"Half as Interesting",13234,554,10,71,"Education"
"Halfway Anywhere",654,10,10,4,"Travel & Events"
"HalseyVEVO",178580,4402,10,35,"Music"
"Hamilton: An American Musical",51127,471,10,14,"Film & Animation"
"Hannah Meloche",6298,38,10,4,"Howto & Style"
"Hannah Stocking",166967,5748,10,69,"Comedy"
"Hannah Witton",3262,28,10,2,"People & Blogs"
"HANSE 한세",4976,51,10,10,"Howto & Style"
"HANSON",1708,78,10,10,"Music"
"Harper's BAZAAR",8342,297,10,24,"Howto & Style"
"HARRY",0,0,NA,4,"Entertainment"
"HarryStylesVEVO",269943,3075,10,6,"Music"
"Haru the Shiba Inu",2958,32,10,2,"Pets & Animals"
"Hayley Kiyoko",137417,1364,10,6,"Music"
"Hazel Hayes",9564,55,10,6,"People & Blogs"
"HBO",18179,937,9,95,"Film & Animation"
"Healthcare Triage",936,6,10,8,"Education"
"Helen Anderson",4095,83,10,3,"People & Blogs"
"HellthyJunkFood",10821,666,9,116,"Entertainment"
"Helpful Vancouver Vet",49744,1212,10,7,"Pets & Animals"
"Henry Prince Mak",12873,233,10,6,"People & Blogs"
"heroedelahistoria",85,5,9,6,"Education"
"Hevesh5",13908,831,9,36,"Entertainment"
"heyitsfeiii",16314,376,10,22,"Howto & Style"
"Highlight Heaven",16492,1140,10,15,"Sports"
"Highsnobiety",803,26,10,5,"Howto & Style"
"HiHo Kids",5688,41,10,2,"People & Blogs"
"Hillsong Worship",7605,136,10,4,"Music"
"Hin Nya",7032,77,10,1,"Gaming"
"Hollyscoop",280,34,9,3,"Entertainment"
"HollywoodLife",10930,2924,8,19,"Entertainment"
"Hometalk",76473,5028,9,14,"Howto & Style"
"Honda",314,100,8,6,"Autos & Vehicles"
"Hope For Paws - Official Rescue Channel",24219,308,10,29,"Pets & Animals"
"Hopeless Records",14751,179,10,3,"Music"
"Horizon Productions SFL",7626,451,9,9,"Travel & Events"
"HOT 97",54824,476,10,6,"Music"
"Hot Dad",1172,18,10,1,"Comedy"
"HOTSPOTATL",14,4,8,3,"Entertainment"
"HouzzTV",7603,179,10,7,"Howto & Style"
"How Ridiculous",185010,13857,9,54,"Sports"
"How To Cake It",19868,271,10,60,"Howto & Style"
"How To Cook That",7951,228,10,62,"Howto & Style"
"How to DAD",13132,262,10,32,"People & Blogs"
"How To Make Everything",8042,251,10,17,"Education"
"Howl Of A Dog",41588,512,10,5,"Pets & Animals"
"HowToBasic",245025,16492,9,16,"Howto & Style"
"hp_overload",26581,3566,9,7,"Autos & Vehicles"
"HQVideoDude",8293,33,10,5,"Music"
"Hudson Moore",1986,90,10,8,"Music"
"hudsonunionsociety",0,0,NA,7,"Film & Animation"
"Hulu",3331,345,9,34,"Entertainment"
"Humble Design",131,13,9,1,"Nonprofits & Activism"
"Hunter Hayes",2653,65,10,19,"Music"
"Hush Kit",1657,591,8,5,"People & Blogs"
"Huw Parkinson",281,3,10,6,"Comedy"
"Huxley Berg Studios",10387,421,10,9,"Film & Animation"
"HvdH-Plane-Spotter",27192,1092,10,5,"Autos & Vehicles"
"hwow",4756,55,10,7,"Gaming"
"Hybrid Network",286,4,10,2,"Entertainment"
"Hydraulic Press Channel",12421,534,10,62,"Science & Technology"
"HyundaiUSA",680,1348,5,11,"Autos & Vehicles"
"I'm With Her",121,3,10,1,"People & Blogs"
"I Like To Make Stuff",12824,256,10,17,"Howto & Style"
"I.T. Channel",9585,172,10,6,"Entertainment"
"영국남자 Korean Englishman",24526,430,10,6,"Comedy"
"IAmAnneMarie",18810,129,10,5,"Music"
"iamAURORAVEVO",60092,823,10,15,"Music"
"ibighit",1922804,17177,10,45,"Music"
"iDB",110,4,10,2,"Science & Technology"
"IFC",2497,78,10,8,"Comedy"
"IFC Films",882,374,7,14,"Film & Animation"
"iggyazaleamusicVEVO",82284,7150,9,8,"Music"
"IGN",8686,528,9,53,"Entertainment"
"IGN News",408,38,9,10,"Entertainment"
"ignoramusky",4356,132,10,14,"Pets & Animals"
"iHasCupquake",39590,733,10,18,"Gaming"
"IISuperwomanII",123567,2320,10,99,"Comedy"
"iJustine",11409,1086,9,79,"People & Blogs"
"iKON",448506,4122,10,5,"Music"
"ilikeweylie",3917,39,10,5,"Howto & Style"
"Illumination",84681,24327,8,16,"Entertainment"
"ImagineDragonsVEVO",192997,4101,10,45,"Music"
"Impulse",11165,1304,9,23,"Entertainment"
"In Case You Missed It",557,6,10,2,"People & Blogs"
"Inanna Sarkis",72390,2355,10,18,"Comedy"
"IncubusVEVO",5632,202,10,10,"Music"
"India Love",6493,3775,6,6,"Music"
"India Survival Guide",12784,166,10,3,"Travel & Events"
"Ingrid Nilsen",3853,256,9,19,"Howto & Style"
"INQUIRER.net",770,21,10,9,"Entertainment"
"Inside Edition",6852,580,9,101,"News & Politics"
"Inside the Magic",2886,3126,5,9,"Travel & Events"
"INSIDER",12004,337,10,149,"Travel & Events"
"Interscope Records",2803,89,10,4,"Music"
"Inthefrow",4719,124,10,4,"Howto & Style"
"Intuit",23282,8015,7,4,"Science & Technology"
"Invisible People",1536,56,10,2,"Nonprofits & Activism"
"iotexpert",16,0,10,3,"Science & Technology"
"Iris",35907,1683,10,11,"Entertainment"
"IsraeliPM",72,9,9,2,"News & Politics"
"It's a small world",2031,84,10,4,"Music"
"It's a Southern Thing",4919,320,9,6,"Comedy"
"It's Okay To Be Smart",12447,138,10,21,"Education"
"itsAlexClark",29578,1462,9,55,"Film & Animation"
"Itzztonytony",500,36,9,2,"Comedy"
"Ivan Miranda",2811,31,10,3,"Science & Technology"
"Izac Less",3207,73,10,3,"Film & Animation"
"J Gasser",2,1,6,4,"Entertainment"
"J S",28,610,0,2,"People & Blogs"
"J. Cole",417865,8939,10,14,"Music"
"J.J. McCullough",4264,1245,8,12,"People & Blogs"
"Ján Ilavský",16503,249,10,4,"Gaming"
"Jack and Dean",20835,157,10,5,"Comedy"
"Jack Coyne",14415,415,10,11,"People & Blogs"
"Jackie Aina",56206,1029,10,53,"Howto & Style"
"JackJohnsonVEVO",2327,64,10,9,"Music"
"jacksepticeye",52398,1001,10,12,"Entertainment"
"jacksfilms",106730,3127,10,111,"Comedy"
"JackWhiteVEVO",10866,1066,9,12,"Music"
"Jaclyn Hill",49618,1519,10,12,"Howto & Style"
"Jacob Collier",8228,85,10,6,"Music"
"Jaiden Animations",201010,2080,10,41,"Film & Animation"
"Jake Roper",6626,228,10,7,"People & Blogs"
"Jalopnik",656,177,8,5,"Entertainment"
"James Charles",158288,4252,10,88,"Entertainment"
"James Veitch",9122,120,10,1,"Comedy"
"JamesAVEVO",55084,356,10,5,"Music"
"JamesBayVEVO",42092,1076,10,34,"Music"
"JamesBlakeVEVO",8507,525,9,6,"Music"
"Jamie Demeter",826,10,10,1,"Entertainment"
"Janelle Monáe",48244,2651,10,39,"Music"
"JanPaul123",29,0,10,1,"Science & Technology"
"JarJar Abrams",15528,380,10,1,"People & Blogs"
"Jason Derulo",128291,7827,9,34,"Music"
"Jason Mraz",33757,448,10,10,"Music"
"Jason Yu",12782,504,10,6,"People & Blogs"
"JasonAldeanVEVO",12757,395,10,19,"Music"
"JAY",1123,32,10,4,"Entertainment"
"JayRockVEVO",309127,10837,10,10,"Music"
"JayZVEVO",113219,10862,9,5,"Music"
"jbalvinVEVO",253069,8096,10,4,"Music"
"Jeep",13237,524,10,9,"Autos & Vehicles"
"jeffreestar",126269,2653,10,38,"Howto & Style"
"JelloApocalypse",44178,6371,9,15,"Comedy"
"Jenn Im",13727,305,10,16,"Howto & Style"
"JennaMarbles",174838,3665,10,30,"Comedy"
"jenniferhudsonVEVO",12517,407,10,7,"Music"
"JenniferLopezVEVO",304168,42404,9,14,"Music"
"jennxpenn",24842,835,10,38,"Entertainment"
"Jenny Hanell",3,0,10,1,"Science & Technology"
"Jenny Nicholson",9290,855,9,49,"Film & Animation"
"Jeopardy!",7071,352,10,21,"Entertainment"
"jeremiah johnson",4,4,5,4,"Autos & Vehicles"
"Jeremy Jahns",25932,1004,10,39,"Entertainment"
"JerryRigEverything",19053,524,10,43,"Howto & Style"
"Jess Conte",97168,1307,10,13,"Entertainment"
"Jess Glynne",30192,282,10,3,"Music"
"Jesse",44723,883,10,8,"Comedy"
"Jessica Braun | JAMbeauty89",3185,132,10,5,"Howto & Style"
"Jessica Clements",5474,151,10,13,"Howto & Style"
"Jessica Kellgren-Fozard",2737,28,10,6,"People & Blogs"
"Jessica Vu",8082,133,10,7,"Howto & Style"
"JessieJVEVO",28417,479,10,3,"Music"
"jessiepaege",14529,206,10,15,"People & Blogs"
"Jessii Vee",5991,71,10,5,"Comedy"
"JheneAikoVEVO",89478,1304,10,6,"Music"
"JimBrowski 96HourNews",22,9,7,3,"News & Politics"
"Jimmy Built",1609,41,10,11,"Autos & Vehicles"
"Jimmy Kimmel Live",22746,1672,9,149,"Entertainment"
"JK Brickworks",2604,43,10,6,"Entertainment"
"Joan Kim",4514,117,10,16,"Howto & Style"
"JOE.ie",5403,380,9,13,"Entertainment"
"JoergSprave",6085,40,10,5,"Science & Technology"
"Joey Graceffa",60849,886,10,25,"People & Blogs"
"John Campea",1680,177,9,55,"Entertainment"
"John Lewis",58499,10917,8,4,"Howto & Style"
"John Maclean",5259,1279,9,7,"Howto & Style"
"John Sellars",6,0,10,5,"Entertainment"
"John Varvatos",120,1,10,3,"Entertainment"
"johnlegendVEVO",55388,1124,10,12,"Music"
"JohnNewmanVEVO",29581,368,10,12,"Music"
"Johnny Jansen",3660,193,9,11,"Film & Animation"
"JohnnyQ90",2092,92,10,5,"Science & Technology"
"JOLLY",7077,153,10,22,"Comedy"
"Jon B.",2865,159,9,12,"Howto & Style"
"Jon Olsson",8908,419,10,3,"People & Blogs"
"Jonathan Morrison",13755,1054,9,20,"Science & Technology"
"JonTronShow",209651,4275,10,6,"Comedy"
"Jordan Wilson",32782,1517,10,9,"Film & Animation"
"Josh Groban",2888,139,9,15,"Music"
"Josh Levine",9,0,10,6,"Entertainment"
"Joshua Levin",58,0,10,2,"Science & Technology"
"joyner lucas",202960,7062,10,4,"Music"
"JP & Julia",6468,411,9,7,"People & Blogs"
"JuJu Smith-Schuster",13988,329,10,4,"Entertainment"
"JuliaMichaelsVEVO",26618,222,10,2,"Music"
"Julien Solomita",16977,228,10,19,"Entertainment"
"JunsKitchen",105822,1375,10,40,"Howto & Style"
"Just Between Us",4981,226,10,11,"Comedy"
"Just Jared Jr",940,2742,3,9,"Entertainment"
"Just Marcus",3091,47,10,1,"People & Blogs"
"Just Wow me",15676,558,10,8,"Entertainment"
"justintimberlakeVEVO",144934,15489,9,34,"Music"
"jypentertainment",701577,38783,10,64,"Music"
"K-MUSIC",154392,1471,10,13,"Music"
"K Yuen",181,79,7,1,"People & Blogs"
"Kacey Musgraves - Topic",1736,194,9,11,"Music"
"KaceyMusgravesVEVO",6135,436,9,22,"Music"
"Kandee Johnson",7920,545,9,34,"Howto & Style"
"KaneBrownVEVO",9664,375,10,15,"Music"
"Kanimuna Kisaka",49,23,7,4,"News & Politics"
"Kanye West",144944,16405,9,8,"People & Blogs"
"Kanye West - Topic",70018,20288,8,9,"Music"
"Kaplamino",20966,254,10,23,"Entertainment"
"Karim Jovian",1857,51,10,4,"Entertainment"
"Karina Garcia",85060,1828,10,18,"Howto & Style"
"Kat Cunning",83,12,9,3,"Music"
"KATC",2371,223,9,5,"News & Politics"
"KathleenLights",25459,433,10,42,"Howto & Style"
"Katy Perry",6243,106,10,1,"Entertainment"
"KatyPerryVEVO",481137,92757,9,18,"Music"
"Katzun",14850,179,10,8,"People & Blogs"
"kawaiisweetworld",4326,58,10,3,"Howto & Style"
"Kayley Melissa",3884,148,10,22,"Howto & Style"
"KBAK - KBFX - Eyewitness News - BakersfieldNow",13347,475,10,8,"News & Politics"
"KBS World TV",154690,1530,10,3,"Entertainment"
"KBSKpop",77884,2034,10,8,"Entertainment"
"kehlani parrish",27680,337,10,9,"Music"
"Keith Urban",5584,563,9,6,"Entertainment"
"KeithUrbanVEVO",7087,520,9,28,"Music"
"Keke Palmer",8428,328,10,14,"Music"
"Kelly Clarkson",35284,526,10,29,"Music"
"Kelly Eden",1318,117,9,5,"Film & Animation"
"KendrickLamarVEVO",334250,5514,10,24,"Music"
"Kensuke Koike",21168,864,10,16,"Film & Animation"
"Kerry Wong",67,1,10,3,"Education"
"keshaVEVO",7322,355,10,7,"Music"
"Kevin Durant",6160,127,10,4,"Sports"
"Kevin Noonan",41,1,10,5,"Education"
"Kevin Rabatin",3,0,10,3,"People & Blogs"
"Kevin Stein",2,0,10,3,"Education"
"Keyboard Cat",14790,125,10,9,"Pets & Animals"
"KFC",3164,4191,4,7,"Entertainment"
"KFlayVEVO",3590,64,10,6,"Music"
"KhalidVEVO",139983,2280,10,20,"Music"
"Kia Motors America",3710,197,9,7,"Autos & Vehicles"
"KickThePj",15262,26,10,1,"Film & Animation"
"Kid Rock",8216,1387,9,12,"Music"
"Kim Kardashian West",0,0,NA,13,"People & Blogs"
"kimbramusic",9215,382,10,3,"Music"
"KIND Snacks",86,37,7,6,"Entertainment"
"King Princess",1620,10,10,1,"People & Blogs"
"Kingsley",2379,6,10,5,"Entertainment"
"KipMooreVEVO",2691,182,9,6,"Music"
"KISS FM UK",1913,54,10,6,"Music"
"Kita Osaka",21,2,9,3,"Comedy"
"Kitchen Nightmares",17365,523,10,33,"Entertainment"
"Kitten Lady",5807,28,10,7,"Pets & Animals"
"Kitty Hawk",4859,371,9,12,"Science & Technology"
"KKandbabyJ",21158,452,10,19,"People & Blogs"
"Klossy",12199,182,10,26,"People & Blogs"
"kmichelle",6475,227,10,2,"Music"
"Kortney Steury",4171,116,10,4,"People & Blogs"
"Kotaku",1516,197,9,6,"Gaming"
"Kraft Brand",402,248,6,7,"People & Blogs"
"Kris Harbour",10405,383,10,13,"Education"
"Kristen Hancher",15247,700,10,11,"Howto & Style"
"Kristin Johns",16429,265,10,8,"People & Blogs"
"KSNV News 3 Las Vegas",57,59,5,1,"News & Politics"
"KTVU",2559,43,10,5,"Entertainment"
"Kurzgesagt – In a Nutshell",149674,3138,10,86,"Education"
"KygoOfficialVEVO",125404,1633,10,7,"Music"
"Kyle Gunderson",934,38,10,5,"Entertainment"
"KYLE HANAGAMI",64330,525,10,11,"Entertainment"
"Kyle Jennermann",4125,142,10,11,"People & Blogs"
"Kylie Cosmetics",56715,2343,10,8,"People & Blogs"
"Kylie Jenner",0,0,NA,10,"People & Blogs"
"Kylie Minogue",8797,548,9,9,"Music"
"Kylie Moy",34660,1103,10,7,"Entertainment"
"KylieMinogueOnVEVO",18700,765,10,16,"Music"
"L2inc",2674,64,10,3,"News & Politics"
"LadBaby Official",5509,122,10,10,"People & Blogs"
"ladygagaarraza",1425,28,10,1,"Comedy"
"LadyGagaVEVO",133906,3025,10,27,"Music"
"Ladylike",65582,2137,10,31,"People & Blogs"
"LaMadelynn",2216,75,10,14,"Film & Animation"
"Lamborghini",461,12,10,2,"Autos & Vehicles"
"Lame Videos",12440,1264,9,3,"Comedy"
"Land Rover",34093,810,10,7,"Autos & Vehicles"
"Lane Anderson",9098,902,9,3,"Comedy"
"lara6683",7110,75,10,7,"Gaming"
