"channel_title","Avg Likes","Avg Dislikes","Avg Rating","Frequency","Main Category"
"Atlanta Hawks",19,0,10,3,"Sports"
"Atlantic Records",63288,999,10,60,"Music"
"ATPWorldTour",1701,18,10,3,"Sports"
"Attaullah Malik",10144,5099,7,8,"Science & Technology"
"Audience Network",5,0,10,3,"Entertainment"
"Aunty Donna",7338,74,10,6,"Comedy"
"Auralnauts",3627,76,10,2,"Comedy"
"AusAntarctic",1742,14,10,11,"Science & Technology"
"Austin Burk",114,5,10,6,"Music"
"Austin Evans",21732,1723,9,65,"Science & Technology"
"austinmcconnell",9417,252,10,13,"Education"
"Australia",5187,254,10,9,"Travel & Events"
"Australian Open TV",4277,161,10,17,"Sports"
"AutoGuide.com",508,70,9,3,"Autos & Vehicles"
"automotivemaster1972",5,1,8,6,"Entertainment"
"AvE",20222,153,10,6,"Science & Technology"
"AviciiOfficialVEVO",80218,1424,10,6,"Music"
"Avocado",45862,2000,10,2,"People & Blogs"
"Avocados From Mexico",258,14,9,4,"Entertainment"
"Awkward Puppets",28025,448,10,6,"Comedy"
"Aymeric Favard",111,7,9,5,"Sports"
"AzzyLand",15691,3343,8,9,"Entertainment"
"BØRNSmusicVEVO",32835,591,10,14,"Music"
"Bachelor Nation on ABC",173,232,6,13,"Entertainment"
"BachelorsPadTv",28125,840,10,6,"Comedy"
"BaconLegs",4946,236,10,6,"People & Blogs"
"Bad Lip Reading",129222,3460,10,66,"Comedy"
"BAFTA",566,9,10,5,"Entertainment"
"Banana Culture Music",74240,560,10,2,"Music"
"BANGTANTV",431856,1541,10,18,"Entertainment"
"Barcroft Animals",746,14,10,9,"Pets & Animals"
"Barn Sanctuary",562,8,10,2,"Pets & Animals"
"barnabydixon",10025,88,10,6,"Film & Animation"
"Barstool Sports",175,22,9,7,"Comedy"
"Battle Universe",9146,614,9,4,"Entertainment"
"Battle Universe!",11224,870,9,11,"Entertainment"
"BBALLBREAKDOWN",3513,606,9,5,"Sports"
"BBC",8954,2179,8,25,"Entertainment"
"BBC America",2382,38,10,16,"Entertainment"
"BBC Earth",2730,134,10,40,"Pets & Animals"
"BBC Music",25542,957,10,3,"Music"
"BBC News",5542,672,8,74,"News & Politics"
"BBC Radio 1",36109,534,10,77,"Music"
"BBC Three",13261,456,10,18,"Entertainment"
"BBCRadio1VEVO",16762,420,10,26,"Music"
"Be Amazed",1523,97,9,5,"Entertainment"
"Beats 1 on Apple Music",42679,2996,9,7,"Music"
"Beats 1 Radio",15906,1190,10,16,"Music"
"Beats by Dre",7824,158,10,1,"Music"
"Bebe Rexha",41739,1176,10,21,"Music"
"Because Science",16522,758,10,22,"Science & Technology"
"BeckVEVO",6966,379,9,7,"Music"
"BeckyGVEVO",934726,78780,9,19,"Music"
"Bee Ly TV",18,2,9,3,"People & Blogs"
"BehindTheSounds",469,4,10,4,"Music"
"BellaThorneVEVO",10381,552,10,6,"Music"
"BellatorMMA",2008,302,9,2,"Sports"
"Beme News",5873,314,9,19,"News & Politics"
"Ben Actis",22242,628,10,8,"People & Blogs"
